density[kg.m-2], linear warp[SI*1e9], linear weft[SI*1e9], linear diag[SI*1e9], nonlinear warp[SI*1e12], nonlinear weft[SI*1e12], nonlinear diag[SI*1e12]
0.0673, 1779.9, 3076.2, 2244.1, -8478.2, -4158.5, -3351.1
0.0585, 2977.0, 4967.1, 6618.1, -8851.2, -4005.1, -18208.3
0.1834, 61211.1, 24116.1, 23803.5, -238336.9, -166025.9, -193927.8
0.2776, 68681.4, 46805.6, 34174.3, -264725.3, -145916.0, -118250.1
0.3374, 188995.7, 37221.3, 44046.9, -261491.5, -75250.1, -266356.1
0.1972, 9183.1, 7598.0, 3752.0, -44577.8, -23457.9, -28469.0
0.0974, 1138.4, 1899.0, 1678.1, -2864.9, -2786.4, -3769.2
0.1893, 53512.5, 53947.7, 68535.8, -246326.4, -128689.0, -87757.9
0.0224, 866.3, 1141.2, 1529.6, -1545.2, -922.2, -2837.1
0.1462, 3436.1, 2478.2, 4024.7, -6854.1, -5906.6, -4065.2
0.3111, 60665.3, 42846.9, 27827.3, -201151.5, -159251.2, -105744.9
0.1184, 1337.3, 7502.4, 2602.8, -6014.2, -20275.8, -7822.8
0.0604, 33479.0, 4057.1, 10634.9, -113052.8, -31447.7, -101178.0
0.0801, 6360.6, 5692.8, 6299.7, -12624.7, -7331.8, -18659.5
0.2314, 4117.4, 1411.4, 3101.8, -14141.2, -3304.6, -4201.8
0.2075, 30160.6, 15870.8, 36938.6, -60017.9, -68362.2, -78814.5
0.2622, 9215.8, 16958.9, 18171.5, -45224.9, -29780.1, -32028.4
0.4773, 32775.9, 22098.3, 15268.1, -111201.1, -119122.9, -41094.6
0.1136, 4287.2, 1372.0, 3676.5, -14615.2, -2099.8, -4826.0
0.1673, 1645.2, 2577.8, 7880.0, -4204.4, -8130.5, -3661.3
0.2314, 4117.4, 1411.4, 3101.8, -14141.2, -3304.6, -4201.8
0.1131, 9224.8, 6600.6, 15387.0, -23312.3, -22042.8, -29981.4
0.4871, 115747.3, 49453.8, 83508.1, -449479.5, -181311.8, -142318.2
0.1439, 12170.5, 5565.3, 5279.8, -26792.0, -18792.7, -6858.0
0.0910, 5984.0, 4038.4, 2907.4, -11136.8, -16078.9, -17442.7
0.1187, 11307.7, 8063.7, 6954.7, -17803.2, -17450.7, -23813.4
